Customer,Name,Current,1 To 31,31 To 61,61 To 92,Over 92,Balance
C000416,PureGroup SA (Pty) Ltd,4368.85,0.0,0.0,0.0,0.0,4368.85
C001186,IP TELECOM SA (PTY) LTD,4312.5,0.0,0.0,0.0,0.0,4312.5
C006320,ALTRON HEALTHTECH A DIVISION OF ALTRON TMT (PTY) LTD,4284.33,0.0,0.0,0.0,0.0,4284.33
EUP001,Euphoria Telecoms,4278.0,0.0,0.0,0.0,0.0,4278.0
C006023,JT ROSS & SON (PTY) LTD,4138.85,0.0,0.0,0.0,0.0,4138.85
C000776,MIRB Africa (Pty) Ltd,3678.85,445.02,0.0,0.0,0.0,4123.87
C000861,STORM AGRI PRODUCTS,4104.35,0.0,0.0,0.0,0.0,4104.35
C005411,CPU TRADING CC T/A PC JUNCTION,0.0,0.0,0.0,0.0,4035.35,4035.35
C003804,Aerocom Broadband Services (Pty) Ltd,4025.0,0.0,0.0,0.0,0.0,4025.0
C000800,Wild Eye Destinations and Photographic (Pty) Ltd,4023.85,0.0,0.0,0.0,0.0,4023.85
C005363,GROWISE CAPITAL (PTY) LTD,4023.85,0.0,0.0,0.0,0.0,4023.85
C005735,THE MILLVALE TRUST,4023.85,0.0,0.0,0.0,0.0,4023.85
C005933,MARISWE (PTY) LTD,4023.85,0.0,0.0,0.0,0.0,4023.85
C006004,MIFITNESS (PTY) LTD,4023.85,0.0,0.0,0.0,0.0,4023.85
KZ004231,Sews South Africa (Pty) Ltd,3966.35,0.0,0.0,0.0,0.0,3966.35
EKA001,Ekato Africa (Pty) Ltd,3965.2,0.0,0.0,0.0,0.0,3965.2
C005176,AFRICA HEALTHCARE (PTY) LTD,3908.85,0.0,0.0,0.0,0.0,3908.85
C006223,QUEENSWOOD TECHNICAL SOLUTIONS (PTY) LTD T/A QTS GROUP,3908.85,0.0,0.0,0.0,0.0,3908.85
DEN001,Denmyd Medical Equipment (Pty) Ltd,3852.5,0.0,0.0,0.0,0.0,3852.5
C001196,THREE6FIVE MANAGED SERVICES (PTY) LTD,0.0,0.0,0.0,0.0,3733.73,3733.73
C004978,EMRE RETAIL DEVELOPERS,2436.57,1285.42,0.0,0.0,0.0,3721.99
BAR005,Barrows Design & Manufacturing (Pty) Ltd,3678.85,0.0,0.0,0.0,0.0,3678.85
C001070,MSPH South Africa LLC,3678.85,0.0,0.0,0.0,0.0,3678.85
C000275,Comfort Travel and Investment Services (Pty) Ltd,1817.0,1817.0,0.0,0.0,0.0,3634.0
A2X001,A2X (Pty) Ltd t/a A2X Markets,3622.5,0.0,0.0,0.0,0.0,3622.5
C006015,D E I PROJECTS (PTY) LTD,3563.85,0.0,0.0,0.0,0.0,3563.85
THE019,The Nth Dimension CC,3563.85,0.0,0.0,0.0,0.0,3563.85
C001204,UNITED NATIONS - HIGH COMMISSION FOR REFUGEES T/A UNHCR,14948.85,0.0,8273.1,0.0,3124.54,3551.21
C000267,Nampak Products Ltd T/A NMS,3468.42,0.0,0.0,0.0,0.0,3468.42
C000822,Cidel (Pty) Ltd,7070.15,3604.05,0.0,0.0,0.0,3466.1
C000538,Globex Financial Services (Pty) Ltd,3465.21,0.0,0.0,0.0,0.0,3465.21
C000870,The South African Facilities Management Association,3448.85,0.0,0.0,0.0,0.0,3448.85
C001191,IMANI BUSINESS ADVISORY SERVICES (PTY) LTD,3448.85,0.0,0.0,0.0,0.0,3448.85
C005790,BOSSARD SOUTH AFRICA (PTY) LTD,3448.85,0.0,0.0,0.0,0.0,3448.85
C006406,ZAR ATTORNEYS&apos INC,3448.85,0.0,0.0,0.0,0.0,3448.85
C006407,FRESH CAR BAR BOKSBURG (PTY) LTD,3448.85,0.0,0.0,0.0,0.0,3448.85
CAP001,Cape Union Mart Inter Pty Ltd t/a Cape Union Mart,3448.85,0.0,0.0,0.0,0.0,3448.85
KIM001,Kimopax (Pty) Ltd,3448.85,0.0,0.0,0.0,0.0,3448.85
STR002,Strategic Simulation Solutions t/a BTS Africa,3448.85,0.0,0.0,0.0,0.0,3448.85
THE003,The No Nonsense Group,3448.85,0.0,0.0,0.0,0.0,3448.85
C005109,ICONOMYSA,0.0,0.0,0.0,0.0,3447.7,3447.7
C006219,LIAMZEIN CC T/A POSTNET SANDTON CITY,1723.85,1723.85,0.0,0.0,0.0,3447.7
C006433,FLEXISTORE SOUTH AFRICA (PTY) LTD,3447.7,0.0,0.0,0.0,0.0,3447.7
